"Station","Year","Month","Day","Max Temp. (degree Celcius)","Min Temp. (degree Celcius)","Rainfall (mm)","Actual Evaporation (mm)","Relative Humidity (morning, %)","Relative Humidity (afternoon, %)","Sunshine (hour/day)","Cloudy (hour/day)","Solar Radiation (cal/cm^2/day)"
"Barisal",2017,1,1,25.2,13.8,0,1,94,62,6.3,4.5,277.72
"Barisal",2017,1,2,25.4,13.8,0,1,94,62,5.5,5.3,257.52
"Barisal",2017,1,3,25.6,13.4,0,1,94,61,6.2,4.6,275.2
"Barisal",2017,1,4,25.4,14,0,1,94,64,6.3,4.5,277.72
"Barisal",2017,1,5,23,13,0,1,94,68,4,6.8,219.63
"Barisal",2017,1,6,24.2,13.2,0,1,94,"NIL",4.7,6.1,237.31
"Barisal",2017,1,7,23.8,13.8,0,1,94,68,4.4,6.4,229.73
"Barisal",2017,1,8,25.8,12,0,2,94,58,6.6,4.2,285.3
"Barisal",2017,1,9,26.6,12.6,0,1,94,52,6.6,4.2,285.3
"Barisal",2017,1,10,17.4,13,0,2,94,55,6.3,4.5,277.72
"Barisal",2017,1,11,24.8,12.8,0,1,94,54,6.4,4.4,280.25
"Barisal",2017,1,12,24.4,13.8,0,2,94,53,6.2,4.6,275.2
"Barisal",2017,1,13,22.8,10.4,0,1,85,"NIL",6.4,4.4,280.25
"Barisal",2017,1,14,22,8,0,2,85,40,6.5,4.3,282.77
"Barisal",2017,1,15,23.8,8.4,0,1,92,52,6.6,4.2,285.3
"Barisal",2017,1,16,24.4,9,0,1,93,56,6.4,4.4,280.25
"Barisal",2017,1,17,26,9.4,0,1,93,49,6.7,4.1,287.82
"Barisal",2017,1,18,26,9.8,0,2,93,50,6.6,4.2,285.3
"Barisal",2017,1,19,26.8,10.8,0,2,93,50,6.7,4.1,287.82
"Barisal",2017,1,20,25.8,10.8,0,2,93,"NIL",6.5,4.3,282.77
"Barisal",2017,1,21,25.8,10.2,0,2,93,52,6.6,4.2,285.3
"Barisal",2017,1,22,27.6,11,0,1,94,55,6.4,4.4,280.25
"Barisal",2017,1,23,26.4,12.2,0,1,94,52,6.6,4.2,285.3
"Barisal",2017,1,24,27.2,12.2,0,1,94,52,6.6,4.2,285.3
"Barisal",2017,1,25,28.6,13,0,1,94,48,6.7,4.1,287.82
"Barisal",2017,1,26,31,13.2,0,2,94,53,6.9,3.9,292.88
"Barisal",2017,1,27,29.6,13.6,0,2,94,"NIL",5.3,5.5,252.46
"Barisal",2017,1,28,28,14.4,0,2,94,50,6.2,4.6,275.2
"Barisal",2017,1,29,25.8,14,0,1,94,54,7.1,3.7,229.93
"Barisal",2017,1,30,26,12.6,0,1,94,50,7.2,3.6,300.45
"Barisal",2017,1,31,26.2,13,0,2,94,52,7.2,3.6,300.45
"Barisal",2017,2,1,28.2,13.8,0,2,94,55,6.7,4.5,32.63
"Barisal",2017,2,2,26.6,14.2,0,2,94,52,6.9,4.3,338.38
