,Cloudy,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,1.9,2.8,5.5,3.9,8.7,8.9,8,3.3,3.9,10.2,5.4,4.8
2,2.9,3.3,2.6,5.8,12.1,10.8,4.9,6.1,3.6,9.9,1.7,4
3,2.2,3.1,3.8,5.2,10.3,13.6,5.7,6.4,4.9,4.5,3.3,2.8
4,2.3,2.9,10.2,5.4,11.7,12.6,4.5,3.1,8.2,9.8,3,1.6
5,2,3.5,8.8,9.1,4.3,13.6,10.4,3.9,5.2,7.8,2.2,1.8
6,2.6,3.8,5.6,9.6,5,4.9,11.4,3,2.4,5.8,4.4,3.6
7,2.5,2.9,2.7,7.9,4.9,9.4,11.9,9.4,3.6,2.3,6.1,2.9
8,3.6,3,11.8,9.4,4.3,6.5,13.1,7.9,5.2,9.1,9.9,2.8
9,3.5,5.9,11.8,8.6,5.6,9,13.5,9,5.3,5.8,10.9,5.5
10,2.6,2.1,7.5,6.9,6,4.9,13.5,2.7,4.7,3.3,10.9,5.9
11,2.7,1.7,5.3,4.1,5.7,3.5,12.5,10.8,5.4,8.9,8.8,5.5
12,2.5,3.7,8.1,3.5,4.3,7.1,13.5,9.7,8.1,2,3.3,3.1
13,2.5,2.7,4.9,3.3,5.5,6.1,10,12.9,4,2.5,2.3,10.6
14,3.6,2.7,3.1,4.4,4.8,9.7,13.5,10.1,5.2,2.4,2.5,2.8
15,3.4,3,10.7,2.6,5.9,12.6,13.5,10.6,3.3,2.4,5.7,3.2
16,2.7,3.6,2.8,7.5,4.9,9.6,7.5,12.9,3.9,6.1,2.4,3.9
17,3.3,9.1,3.4,4,10.9,7.5,5.7,6.4,7,1.7,2.5,5.7
18,3.6,1.2,3.2,2.1,13.3,7,4.5,6.8,3.1,5.1,3.3,7.5
19,4.5,4.1,3.5,2.7,8.3,5.1,13.5,4,1.7,3.6,3.9,8.2
20,2.7,2.8,9.4,4.4,5.3,5.3,5.5,3.7,5.7,3,4.7,10.6
21,2.4,10,9.2,1.7,5.3,5.8,6.5,5.4,6.2,7.4,2.5,10.6
22,3.1,8.8,2.7,4.2,8.3,7,11.7,5.5,6.7,8.9,3.3,7.3
23,2.6,9,6.6,3.9,7.8,5,6.3,12.9,8.8,10.4,2.4,10.1
24,2.7,3.1,2.4,2.5,13.3,5.6,13,7.3,7.7,11.5,2.2,8.5
25,2.8,5.2,2.1,3.2,11.3,9.9,9.5,6.9,11.5,11.5,1.9,4
26,2.7,6,4.2,3,6.2,13.6,11.7,3,2.4,10.8,3.3,8.8
27,3.1,6.5,3.8,7.5,9.1,13.2,6.9,4.9,12.2,8.7,1.9,10.6
28,5.8,2,2.6,7.3,3.2,13.6,8.6,9.5,11.4,2.5,1.9,3.7
29,3.4,,4.9,2.5,4.2,7.2,7,5,7.9,4,2.4,2.4
30,2.3,,8.7,1.9,2.9,4.4,11.7,12.9,9.5,3,4.1,5.5
31,2,,9.8,,13.3,,10.1,8.8,,4.7,,3.1
