,Evaporation,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,,,2,,,,,3,,,,
2,,,4,,,,5,2,,,,
3,,,1.8,3,,,3,0,,3,,
4,,,1,2,,,2,6,,2,,
5,,,2,,3,,2,4,,3,,
6,,,2,,6,,3.8,5,,4,,
7,,,3,,7,,2.2,4,,1.8,,
8,,,0,,3,,1,0,,,,
9,,,0,,4,,,0,,3,,
10,,,2,,,,,6,,4.2,,
11,,,1,4,,4,,3,,3,,
12,,,3,4,,,5,0,,3,,
13,,,4,5,,,,4,,4,,
14,,,3.2,3,3,,,2,,2,,
15,,,4,0,2,,6.6,2,,4,,
16,,,1,2,,,7,4,,4,,
17,,,4,4,,5,4,,,3,,
18,,,2,4,,5,4,,,4,,
19,,,5,5,,3,,4,,5,,
20,,,,3,,,5.8,4,,3,,
21,,,,7,,,2,3,,2,,
22,,,1,4,,,5.2,,,,,
23,,,3,5,,3,3,2.2,,,,
24,,,1,3,,3,6,5.8,,,,
25,,,4,6,,,1.8,5,,,,
26,,,2,3,,,3,3,,2,,
27,,,2,0,5,,2,2,,3,,
28,,,3,5,3,,4.4,2,,1,,
29,,,,2,3,5,,0,,2,,
30,,,,,,,,2,,2,,
31,,,,,,,3.4,,,,,
