,R.H.2pm,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,72,83,81,68,58,84,71,80,71,75,67,72
2,74,79,67,67,60,84,64,67,84,75,67,78
3,59,87,72,67,95,80,64,73,78,74,58,82
4,70,91,64,76,87,91,74,64,74,70,73,82
5,58,91,68,87,74,88,80,78,78,72,64,78
6,62,82,76,68,78,75,64,75,73,81,74,66
7,95,78,76,86,78,75,67,67,74,75,68,66
8,78,75,76,76,74,77,84,63,73,74,58,66
9,78,71,67,76,78,78,84,63,74,64,60,69
10,65,70,76,73,68,73,90,75,73,80,74,95
11,71,65,63,76,68,71,91,70,77,81,77,90
12,77,66,83,70,72,71,92,70,78,78,77,90
13,54,66,84,74,60,62,85,72,75,74,71,90
14,62,76,84,58,75,81,95,81,71,74,74,74
15,76,83,91,74,69,80,91,81,62,74,68,95
16,81,83,80,66,73,61,91,75,64,74,65,74
17,79,75,71,78,81,70,88,78,73,74,67,90
18,83,71,72,77,71,62,74,70,74,74,65,78
19,74,81,71,84,69,62,77,75,68,74,77,85
20,75,75,71,68,70,61,74,73,70,74,59,90
21,74,91,76,72,72,67,74,74,71,80,62,69
22,63,79,77,70,78,85,67,62,62,88,59,90
23,75,76,80,63,74,81,88,72,73,85,65,85
24,83,69,65,71,80,71,78,75,81,81,68,90
25,79,77,67,75,77,74,84,75,74,81,62,73
26,78,86,79,72,80,88,69,68,74,894,65,72
27,76,86,67,81,78,91,58,68,77,88,74,81
28,76,95,71,71,80,88,64,70,70,80,63,89
29,65,,84,74,73,81,67,71,85,85,87,77
30,71,,77,71,72,80,70,80,65,88,95,77
31,57,,87,,80,,78,71,,88,,71
