,Minmum Temp,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,18.1,11.2,20.2,20.1,22.3,25.8,,,,,,
2,17.5,10.8,19.2,19.6,23.5,25.1,,,,,,
3,11.2,13.8,18.8,19.5,25.2,24.5,,,,,,
4,12.2,12.8,19.1,19.5,23.1,25.8,,,,,,
5,12.2,12.6,11.2,20.1,21.8,25.1,,,,,,
6,13.8,12.8,17.8,19.6,21.8,25.1,,,,,,
7,14.5,17.2,18.2,19.5,21.2,25.2,,,,,,
8,14.2,13.8,17.2,19.2,26.2,26.5,,,,,,
9,14.2,13.5,17.2,19.5,26.5,26.2,,,,,,
10,13.5,14.2,18.5,19.5,26.2,26.8,,,,,,
11,13.8,14.8,18.7,19.1,24.5,25.5,,,,,,
12,13.8,14.7,20.5,19.1,24.2,26.2,,,,,,
13,12.2,14.8,19.8,19.3,24.5,26.8,,,,,,
14,12.8,13.8,19.5,20.1,24.5,25.8,,,,,,
15,12.8,12.5,19.6,20.5,24.1,25.6,,,,,,
16,12.2,12.2,19.2,20.8,24.5,25.5,,,,,,
17,16.5,17.2,19.5,20.5,23.5,25.5,,,,,,
18,16.8,15.8,19.2,19.1,24.2,25.8,,,,,,
19,12.2,16.2,20.2,22.8,24.8,25.5,,,,,,
20,11.8,15.8,18.8,22.5,24.5,26.5,,,,,,
21,11.2,18.5,18.8,21.5,24.5,26.5,,,,,,
22,10.8,18.8,19.8,21.5,25.8,27.8,,,,,,
23,11.1,18.5,19.5,20.5,24.5,27.5,,,,,,
24,11.2,16.8,19.6,21.2,23.5,23.8,,,,,,
25,10.8,14.8,19.5,22.5,20.8,24.5,,,,,,
26,12.2,15.2,21.2,22.8,20.5,25.8,,,,,,
27,13.5,18.2,18.4,21.5,20.2,25.2,,,,,,
28,15.5,16.8,18.2,20.8,21.5,26.2,,,,,,
29,14.4,18.2,20.2,20.5,21.8,26.8,,,,,,
30,14.5,,19.5,22.2,22.8,27.5,,,,,,
31,13.8,,20.5,,24.8,,,,,,,
