,R.H.9.am,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,95,84,82,87,95,96,,,,,,
2,94,88,86,87,95,87,,,,,,
3,94,88,86,87,91,100,,,,,,
4,94,94,86,83,88,95,,,,,,
5,100,89,90,91,91,92,,,,,,
6,100,89,68,87,84,91,,,,,,
7,94,79,95,91,88,95,,,,,,
8,94,85,95,91,80,85,,,,,,
9,94,89,82,87,81,100,,,,,,
10,94,85,78,87,92,100,,,,,,
11,94,80,75,83,92,100,,,,,,
12,94,80,78,91,95,100,,,,,,
13,100,89,87,90,80,85,,,,,,
14,94,80,75,86,80,84,,,,,,
15,100,95,90,86,92,100,,,,,,
16,95,95,90,90,80,95,,,,,,
17,85,95,75,83,82,100,,,,,,
18,90,100,76,78,95,80,,,,,,
19,89,95,75,90,92,84,,,,,,
20,84,100,92,88,91,80,,,,,,
21,94,95,85,100,92,84,,,,,,
22,94,95,90,81,82,80,,,,,,
23,94,95,78,95,88,84,,,,,,
24,94,100,76,91,91,88,,,,,,
25,88,100,79,91,88,96,,,,,,
26,88,95,75,91,100,91,,,,,,
27,94,95,100,87,81,100,,,,,,
28,100,100,87,91,87,96,,,,,,
29,94,78,91,95,80,100,,,,,,
30,94,,91,91,81,96,,,,,,
31,94,,63,,100,,,,,,,
