,Solar radiation,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,289.5,318.94,438.33,504.22,336.47,341.74,365.32,497.85,411.9,181.19,260.13,247.08
2,350.9,391.87,416.14,465.27,226.29,280.56,464.93,406.02,420.98,189.81,354.13,266.07
3,114.6,363.82,321.07,429.57,284.62,190.4,439.23,396.38,381.62,345.12,313.48,294.55
4,252.55,363.82,431.99,439.31,239.25,222.6,477.79,504.4,281.71,192.69,321.1,323.04
5,186.04,349.79,400.3,468.52,479.07,190.4,288.21,478.21,372.54,250.21,341.43,318.29
6,240.23,389.07,406.64,507.47,456.38,470.54,256.08,507.67,466.6,307.73,285.53,275.56
7,114.6,307.71,162.6,471.76,459.62,325.64,240.01,298.17,420.98,408.39,242.35,292.18
8,193.43,246,349.59,468.52,479.07,419.02,201.45,347.27,372.54,212.82,145.8,294.55
9,240.23,318.94,463.68,452.29,436.94,338.52,188.6,311.27,369.51,307.73,120.4,230.46
10,151.55,369.43,479.59,439.31,423.97,470.54,188.6,517.49,387.68,379.63,120.4,220.97
11,114.6,369.43,438.33,455.53,433.7,315.62,220.73,252.34,366.48,218.57,173.75,239.96
12,257.47,316.01,457.35,419.83,479.07,399.7,188.6,288.35,284.73,417.01,313.48,287.43
13,114.6,363.82,435.16,452.29,440.18,413.9,301.06,183.6,408.87,402.64,338.89,109.4
14,163.87,223.56,407.81,423.08,462.86,315.98,188.6,275.26,372.54,405.51,331.81,294.55
15,290.56,243.2,470.02,406.85,427.21,222.6,188.6,258.89,430.06,414.14,252.51,285.06
16,316.59,251.61,470.02,397.11,459.62,319.2,381.39,183.6,411.9,299.1,336.35,268.44
17,397.21,296.49,387.62,423.08,265.18,386.82,439.23,396.38,318.04,425.65,333.81,225.37
18,287.03,332.96,463.68,419.83,187.4,402.92,477.79,383.28,436.12,327.86,313.48,182.99
19,252.55,338.57,466.85,387.37,349.44,464.1,188.6,474.94,478.5,371,298.24,166.37
20,245.16,368.44,463.68,452.29,446.66,457.66,445.65,484.76,357.4,388.26,277.91,109.4
21,287.03,377.84,403.47,254.3,446.66,441.56,413.52,419.11,342.26,261.71,333.81,109.4
22,319.06,380.65,283.03,273.77,349.44,402.92,246.44,425.84,327.12,218.57,313.48,187.73
23,255.01,279.66,387.11,348.42,365.64,467.32,419.94,183.6,263.54,175.43,336.35,121.27
24,299.35,304.91,463.68,176.4,187.4,448,204.66,366.91,296.85,143.8,341.43,159.25
25,240.23,167.46,479.53,471.76,252.21,309.54,317.13,380.01,181.79,143.8,349.05,266.06
26,247.62,251.61,460.52,265.27,417.49,190.4,246.44,507.67,457.31,163.93,313.48,152.13
27,158.94,400.29,466.85,419.83,323.51,203.28,400.67,445.48,160.6,224.33,349.05,109.4
28,208.21,271.25,482.7,306.23,514.71,190.4,346.05,294.9,184.82,402.64,349.05,273.19
29,210.67,411.51,327.4,442.55,482.31,396.48,397.45,442.2,290.79,359.5,336.35,304.05
30,250.08,,314.73,309.78,524.44,486.64,246.44,183.6,242.35,388.26,293.16,230.46
31,114.6,,352.76,,187.4,,297.85,317.81,,339.37,,287.43
