,Solar radiation,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,331.38,372.23,362.27,455.53,336.47,341.74,365.32,497.85,411.9,181.19,260.13,247.08
2,306.74,358.21,454.18,393.86,226.29,280.56,464.93,406.02,420.98,189.81,354.13,266.07
3,323.98,363.82,416.14,413.34,284.62,190.4,439.23,396.38,381.62,345.12,313.48,294.55
4,321.52,369.43,213.31,406.85,239.25,222.6,477.79,504.4,281.71,192.69,321.1,323.04
5,328.91,352.6,257.68,286.75,479.07,190.4,288.21,478.21,372.54,250.21,341.43,318.29
6,314.13,344.18,359.1,270.53,456.38,470.54,256.08,507.67,466.6,307.73,285.53,275.56
7,316.59,369.34,451.01,325.7,459.62,325.64,240.01,298.17,420.98,408.39,242.35,292.18
8,289.5,366.62,162.6,277.02,479.07,419.02,201.45,347.27,372.54,212.82,145.8,294.55
9,291.96,285.27,162.6,302.98,436.94,338.52,188.6,311.27,369.51,307.73,120.4,230.46
10,314.13,391.87,298.88,358.16,423.97,470.54,188.6,517.49,387.68,379.63,120.4,220.97
11,311.67,376.53,368.6,449.04,433.7,315.62,220.73,252.34,366.48,218.57,173.75,239.96
12,316.59,346.99,279.86,468.52,479.07,399.7,188.6,288.35,284.73,417.01,313.48,287.43
13,316.59,375.04,381.28,475.01,440.18,413.9,301.06,183.6,408.87,402.64,338.89,109.4
14,289.5,375.04,438.33,439.31,462.86,315.98,188.6,275.26,372.54,405.51,331.81,294.55
15,294.42,366.62,197.46,497.73,427.21,222.6,188.6,258.89,430.06,414.14,252.51,285.06
16,311.67,349.89,447.84,338.69,459.62,319.2,381.39,183.6,411.9,299.1,336.35,268.44
17,296.89,195.51,428.82,452.29,265.18,386.82,439.23,396.38,318.04,425.65,333.81,225.37
18,289.5,417.12,435.16,513.96,187.4,402.92,477.79,383.28,436.12,327.86,313.48,182.99
19,267.33,335.77,425.65,494.48,349.44,464.1,188.6,474.94,478.5,371,298.24,166.37
20,311.67,372.23,238.66,439.31,446.66,457.66,445.65,484.76,357.4,388.26,277.91,109.4
21,319.06,170.26,245,526.94,446.66,441.56,413.52,419.11,342.26,261.71,333.81,109.4
22,301.81,203.92,451.01,445.8,349.44,402.92,246.44,425.84,327.12,218.57,313.48,187.73
23,314.13,198.31,327.4,455.53,365.64,467.32,419.94,183.6,263.54,175.43,336.35,121.27
24,311.67,363.82,460.52,500.98,187.4,448,204.66,366.91,296.85,143.8,341.43,159.25
25,309.2,304.91,470.02,478.25,252.21,309.54,317.13,380.01,181.79,143.8,349.05,266.06
26,311.67,282.47,403.47,484.75,417.49,190.4,246.44,507.67,457.31,163.93,313.48,152.13
27,301.81,268.44,416.14,338.69,323.51,203.28,400.67,445.48,160.6,224.33,349.05,109.4
28,235.3,389.07,454.18,348.42,514.71,190.4,346.05,294.9,184.82,402.64,349.05,273.19
29,294.42,,381.28,500.98,482.31,396.48,397.45,442.2,290.79,359.5,336.35,304.05
30,321.52,,260.85,520.45,524.44,486.64,246.44,183.6,242.35,388.26,293.16,230.46
31,328.91,,225.99,,187.4,,297.85,317.81,,339.37,,287.43
