,Cloudy,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,3.6,4.7,3.1,2.4,10.1,7.4,,,,,,
2,4,2.1,3.8,3.6,8.9,8,,,,,,
3,10.7,3.1,6.8,4.7,10.2,8.4,,,,,,
4,5.1,3.1,3.3,4.4,5.6,9.3,,,,,,
5,7.8,3.6,4.3,3.5,5.7,13.6,,,,,,
6,5.6,2.2,4.1,2.3,13.3,7.4,,,,,,
7,10.7,5.1,11.8,3.4,3.8,7.1,,,,,,
8,7.5,7.3,5.9,3.5,5.8,7.6,,,,,,
9,5.6,4.7,2.3,4,3.8,5.6,,,,,,
10,9.2,2.9,1.8,4.4,4.6,9.5,,,,,,
11,10.7,2.9,3.1,3.9,4.8,10.3,,,,,,
12,4.9,3.2,2.5,5,5,13.6,,,,,,
13,10.7,3.1,3.2,4,4.9,6.6,,,,,,
14,8.7,8.1,4,4.9,2.1,7.5,,,,,,
15,7.4,7.4,2.1,5.4,3.7,8.4,,,,,,
16,2.5,7.1,2.1,5.7,5.2,11.5,,,,,,
17,5.4,5.5,4.7,4.9,6.2,12.6,,,,,,
18,3.7,4.2,2.3,5,6.9,3.4,,,,,,
19,5.1,4,2.2,6,8,4.1,,,,,,
20,5.4,6.5,2.3,4,11.2,5.1,,,,,,
21,3.7,2.6,4.2,10.1,12.3,8.6,,,,,,
22,2.9,2.5,8,9.5,12.5,8.1,,,,,,
23,5,6.1,5,7.2,3.8,6.5,,,,,,
24,3.2,5.2,2.3,12.5,9.3,11.2,,,,,,
25,5.6,10.1,1.8,3.4,8.2,8.3,,,,,,
26,5.3,7.1,2.4,10.2,9.3,9.1,,,,,,
27,8.9,1.8,2.2,5,8.6,10.4,,,,,,
28,6.9,6.4,1.7,8.5,4.6,10.3,,,,,,
29,6.8,1.4,6.6,4.3,13.3,9.1,,,,,,
30,5.2,,7,8.4,8.5,6.2,,,,,,
31,10.7,,5.8,,6.8,,,,,,,
