,Maximum Temp,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,30.1,22.2,28.5,34.5,30.6,32.2,,,,,,
2,27.8,23.2,28.5,33.2,32.5,32.5,,,,,,
3,27.8,25.2,27.5,33.5,34.8,30.2,,,,,,
4,25,20.8,27.2,33.5,32.2,29.5,,,,,,
5,21.5,21.1,29.8,33.8,30.5,31.2,,,,,,
6,15.2,25.2,24.2,33.5,32.2,31.1,,,,,,
7,20.8,24.8,28.8,33.6,32.5,31.2,,,,,,
8,23.2,19.5,29.2,32.1,35.5,35.5,,,,,,
9,19.5,25.5,28.5,32.3,36.5,33.5,,,,,,
10,16.8,26.2,29.3,32.1,36.1,32.5,,,,,,
11,21.8,25.2,29.5,31.5,35.2,30.2,,,,,,
12,17.2,25.4,31.8,30.8,30.5,31.5,,,,,,
13,20.8,25.2,30.5,31.2,32.1,33.2,,,,,,
14,21.5,17.5,31.5,30.5,33.5,32.8,,,,,,
15,26.3,28.5,31.7,30.2,32.8,30.5,,,,,,
16,26.2,28.2,30.8,31.1,32.5,29.5,,,,,,
17,26.8,27.8,30.5,31.5,32.1,32.2,,,,,,
18,27.2,27.5,30.8,30.1,32.5,32.5,,,,,,
19,21.8,20.2,32.8,30.5,30.2,32.2,,,,,,
20,23.2,28.8,31.2,20.8,30.1,31.2,,,,,,
21,22.8,30.2,26.5,30.2,30.2,31.8,,,,,,
22,23,28.8,28.8,30.5,32.5,32.5,,,,,,
23,23.2,28.2,31.2,30.2,31.8,32.8,,,,,,
24,23.5,24.2,31.1,27.2,31.2,32.8,,,,,,
25,23.8,24.2,31.2,29.8,31.5,31.5,,,,,,
26,21.2,27.8,34.5,30.2,31.2,29.5,,,,,,
27,22.8,28.2,31.5,32.5,31.5,30.2,,,,,,
28,24.2,29.2,30.2,32.2,30.5,32.2,,,,,,
29,25.1,29.5,32.5,32.1,31.1,34.8,,,,,,
30,25.2,,33.5,30.5,31.5,34.2,,,,,,
31,23.5,,35.2,,32.2,,,,,,,
