,R.H.2pm,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,63,65,71,69,63,84,,,,,,
2,66,60,62,68,66,88,,,,,,
3,75,65,71,63,67,77,,,,,,
4,78,78,73,68,67,91,,,,,,
5,79,75,64,82,80,80,,,,,,
6,85,79,72,60,64,78,,,,,,
7,90,68,71,68,55,80,,,,,,
8,87,75,82,77,61,74,,,,,,
9,90,75,73,80,65,74,,,,,,
10,90,69,62,64,65,84,,,,,,
11,95,83,63,60,65,88,,,,,,
12,90,87,62,66,68,92,,,,,,
13,90,79,62,84,61,88,,,,,,
14,100,87,65,77,67,78,,,,,,
15,90,78,56,69,58,78,,,,,,
16,82,91,56,70,67,77,,,,,,
17,66,76,58,71,67,88,,,,,,
18,83,79,60,69,67,88,,,,,,
19,79,83,63,68,80,81,,,,,,
20,78,79,60,63,75,80,,,,,,
21,95,79,63,70,78,80,,,,,,
22,73,76,60,71,80,67,,,,,,
23,64,91,76,66,81,77,,,,,,
24,62,80,58,70,70,61,,,,,,
25,59,79,60,67,80,80,,,,,,
26,86,79,60,68,67,67,,,,,,
27,81,82,60,60,70,88,,,,,,
28,85,83,63,62,70,96,,,,,,
29,90,79,60,95,81,88,,,,,,
30,71,,69,71,85,81,,,,,,
31,74,,66,,92,,,,,,,
