,Rainfall,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,0,0,0,0,0,0,,,,,,
2,0,0,0,0,0,0,,,,,,
3,16.8,0,0,0,0,0,,,,,,
4,0,0,0,0,0,52.4,,,,,,
5,0,0,0,0,0,48.2,,,,,,
6,0,0,0,0,55.8,20.8,,,,,,
7,0,0,0,0,0,0,,,,,,
8,0,0,0,0,0,0,,,,,,
9,0,0,0,0,0,0,,,,,,
10,0,0,0,0,0,17.2,,,,,,
11,0,0,0,0,0,35.6,,,,,,
12,0,0,0,0,0,18.8,,,,,,
13,0,0,0,0,0,0,,,,,,
14,0,0,0,0,0,14.2,,,,,,
15,0,0,0,0,0,3.8,,,,,,
16,0,0,0,0,0,0,,,,,,
17,0,0,0,0,0,119.8,,,,,,
18,0,0,0,0,0,43.8,,,,,,
19,0,0,0,0,0,0,,,,,,
20,0,0,0,0,88.5,0,,,,,,
21,0,0,0,12.2,23.8,11.8,,,,,,
22,0,0,0,5.6,11.2,18.2,,,,,,
23,0,0,0,0,0,0,,,,,,
24,0,0,0,60.8,0,0,,,,,,
25,0,0,0,0,0,41.8,,,,,,
26,0,0,0,0,74.5,0,,,,,,
27,0,0,0,0,0,0,,,,,,
28,0,0,0,8.8,0,0,,,,,,
29,0,0,0,16.4,18.8,0,,,,,,
30,0,0,0,0,0,33.2,,,,,,
31,0,0,0,0,66.8,0,,,,,,
