Station,Year,Month,Day,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),,
Habiganj,2019,1,1,27.8,12.8,0,NIL,84,72,8.8,1.9,331.38,,
,2019,1,2,27.1,13.2,0,NIL,89,74,7.8,2.9,306.74,,
,2019,1,3,27.2,13.5,0,NIL,94,59,8.5,2.2,323.98,,
,2019,1,4,26.2,15.5,0,NIL,89,70,8.4,2.3,321.52,,
,2019,1,5,20.5,12.8,0,NIL,84,58,8.7,2,328.91,,
,2019,1,6,27.8,13.2,0,NIL,89,62,8.1,2.6,314.13,,
,2019,1,7,25.5,12.8,0,NIL,94,95,8.2,2.5,316.59,,
,2019,1,8,26.5,13.2,0,NIL,88,78,7.1,3.6,289.5,,
,2019,1,9,26.3,15.7,0,NIL,88,78,7.2,3.5,291.96,,
,2019,1,10,28.8,12.2,0,NIL,94,65,8.1,2.6,314.13,,
,2019,1,11,26.5,12.8,0,NIL,94,71,8,2.7,311.67,,
,2019,1,12,27.2,12.8,0,NIL,80,77,8.2,2.5,316.59,,
,2019,1,13,27.5,13.5,0,NIL,89,54,8.2,2.5,316.59,,
,2019,1,14,24.2,12.8,0,NIL,89,62,7.1,3.6,289.5,,
,2019,1,15,26.5,14.5,0,NIL,89,76,7.3,3.4,294.42,,
,2019,1,16,26.3,14.7,0,NIL,100,81,8,2.7,311.67,,
,2019,1,17,26.5,13.8,0,NIL,89,79,7.4,3.3,296.89,,
,2019,1,18,24.8,14.2,0,NIL,100,83,7.1,3.6,289.5,,
,2019,1,19,25.2,13.5,0,NIL,100,74,6.2,4.5,267.33,,
,2019,1,20,20.8,14.8,0,NIL,100,75,8,2.7,311.67,,
,2019,1,21,27.8,14.5,0,NIL,100,74,8.3,2.4,319.06,,
,2019,1,22,28.2,14.2,0,NIL,94,63,7.6,3.1,301.81,,
,2019,1,23,28.4,15.1,0,NIL,94,75,8.1,2.6,314.13,,
,2019,1,24,28.5,15.8,0,NIL,94,83,8,2.7,311.67,,
,2019,1,25,20.2,16.5,0,NIL,100,79,7.9,2.8,309.2,,
,2019,1,26,29.2,18.8,0,NIL,95,78,8,2.7,311.67,,
,2019,1,27,23.8,17.2,0,NIL,85,76,7.6,3.1,301.81,,
,2019,1,28,20.5,12.2,0,NIL,84,76,4.9,5.8,235.3,,
,2019,1,29,24.5,12.8,0,NIL,83,65,7.3,3.4,294.42,,
,2019,1,30,28.1,14.5,0,NIL,89,71,8.4,2.3,321.52,,
,2019,1,31,29.5,14.2,0,NIL,90,57,8.7,2,328.91,,
,2019,2,1,26.8,15.2,0,NIL,85,83,8.4,2.8,372.23,,
,2019,2,2,26.2,13.8,0,NIL,89,79,7.9,3.3,358.21,,
,2019,2,3,27.2,13.5,0,NIL,84,87,8.1,3.1,363.82,,
,2019,2,4,20.2,14.2,0,NIL,100,91,8.3,2.9,369.43,,
,2019,2,5,20.8,14.5,0,NIL,84,91,7.7,3.5,352.6,,
,2019,2,6,28.1,14.2,0,NIL,89,82,7.4,3.8,344.18,,
,2019,2,7,28.2,14.8,0,NIL,89,78,8.3,2.9,369.34,,
,2019,2,8,29.4,15.2,0,NIL,77,75,8.2,3,366.62,,
,2019,2,9,20.2,13.5,0,NIL,80,71,5.3,5.9,285.27,,
,2019,2,10,26.5,12.8,0,NIL,84,70,9.1,2.1,391.87,,
,2019,2,11,26.8,15.2,0,NIL,85,65,9.5,1.7,376.53,,
,2019,2,12,27.2,15.8,0,NIL,89,66,7.5,3.7,346.99,,
,2019,2,13,27.1,15.8,0,NIL,85,66,8.5,2.7,375.04,,
,2019,2,14,28.1,15.5,0,NIL,85,76,8.5,2.7,375.04,,
,2019,2,15,29.8,15.6,0,NIL,90,83,8.2,3,366.62,,
,2019,2,16,29.8,13.4,0,NIL,89,83,7.6,3.6,349.89,,
,2019,2,17,25.8,16.5,13.8,NIL,100,75,2.1,9.1,195.51,,
,2019,2,18,27.8,17.5,0,NIL,85,71,10,1.2,417.12,,
,2019,2,19,28.5,16.8,0,NIL,81,81,7.1,4.1,335.77,,
,2019,2,20,28.1,16.2,0,NIL,85,75,8.4,2.8,372.23,,
,2019,2,21,30.2,17.8,0,NIL,85,91,1.2,10,170.26,,
,2019,2,22,27.8,18.8,0,NIL,100,79,2.4,8.8,203.92,,
,2019,2,23,29.2,17.8,0,NIL,90,76,2.2,9,198.31,,
,2019,2,24,23.8,17.5,0,NIL,84,69,8.1,3.1,363.82,,
,2019,2,25,24.5,17.2,12.8,NIL,94,77,6,5.2,304.91,,
,2019,2,26,24.5,17.2,0,NIL,89,86,5.2,6,282.47,,
,2019,2,27,26.7,17.8,16.6,NIL,94,86,4.7,6.5,268.44,,
,2019,2,28,24.5,12.2,0,NIL,89,95,9,2,389.07,,
,2019,3,1,25.8,14.5,11.5,2,84,81,6.3,5.5,362.27,,
,2019,3,2,26.8,163.8,0,4,85,67,9.2,2.6,454.18,,
,2019,3,3,24.5,17.8,0,1.8,85,72,8,3.8,416.14,,
,2019,3,4,23.5,19.2,7.8,1,85,64,1.6,10.2,213.31,,
,2019,3,5,27.5,21.2,0,2,86,68,3,8.8,257.68,,
,2019,3,6,30,19,0,2,90,76,6.2,5.6,359.1,,
,2019,3,7,30,18,0,3,86,76,9.1,2.7,451.01,,
,2019,3,8,29,16.8,28,0,86,76,0,11.8,162.6,,
,2019,3,9,29.5,15.8,21,0,82,67,0,11.8,162.6,,
,2019,3,10,31.2,21.5,0,2,78,76,4.3,7.5,298.88,,
,2019,3,11,29.5,20.2,0,1,90,63,6.5,5.3,368.6,,
,2019,3,12,32.2,20.8,0,3,86,83,3.7,8.1,279.86,,
,2019,3,13,31,20,0,4,86,84,6.9,4.9,381.28,,
,2019,3,14,31.2,22.2,0,3.2,79,84,8.7,3.1,438.33,,
,2019,3,15,31.1,19,20.2,4,83,91,1.1,10.7,197.46,,
,2019,3,16,31,19.1,0,1,86,80,9,2.8,447.84,,
,2019,3,17,31,19.4,0,4,90,71,8.4,3.4,428.82,,
,2019,3,18,31.1,19.2,0,2,82,72,8.6,3.2,435.16,,
,2019,3,19,31.2,19.6,0,5,82,71,8.3,3.5,425.65,,
,2019,3,20,31.2,19.8,0,NIL,86,71,2.4,9.4,238.66,,
,2019,3,21,30.8,19.8,26.6,NIL,91,76,2.6,9.2,245,,
,2019,3,22,31.2,19.5,0,1,83,77,9.1,2.7,451.01,,
,2019,3,23,32.2,19.2,0,3,91,80,5.2,6.6,327.4,,
,2019,3,24,31.2,19.4,0,1,75,65,9.4,2.4,460.52,,
,2019,3,25,31,19,0,4,91,67,9.7,2.1,470.02,,
,2019,3,26,31,19.2,0,2,75,79,7.6,4.2,403.47,,
,2019,3,27,31,19.4,0,2,98,67,8,3.8,416.14,,
,2019,3,28,28.7,15.7,0,3,79,71,9.2,2.6,454.18,,
,2019,3,29,29,22,0,NIL,78,84,6.9,4.9,381.28,,
,2019,3,30,29,23,20,NIL,95,77,3.1,8.7,260.85,,
,2019,3,31,29,21.5,82,NIL,94,87,2,9.8,225.99,,
,2019,4,1,29.1,16.2,0,NIL,90,68,8.6,3.9,455.53,,
,2019,4,2,28.3,16.4,19,NIL,94,67,6.7,5.8,393.86,,
,2019,4,3,27.2,21.3,0,3,90,67,7.3,5.2,413.34,,
,2019,4,4,26.1,21.2,0,2,95,76,7.1,5.4,406.85,,
,2019,4,5,22.3,19.2,0,NIL,76,87,3.4,9.1,286.75,,
,2019,4,6,30,19,12,NIL,95,68,2.9,9.6,270.53,,
,2019,4,7,28.2,19.5,11.8,NIL,95,86,4.6,7.9,325.7,,
,2019,4,8,25.2,18.8,4.6,NIL,82,76,3.1,9.4,277.02,,
,2019,4,9,28.5,22.2,27.2,NIL,90,76,3.9,8.6,302.98,,
,2019,4,10,33.2,24.8,0,NIL,83,73,5.6,6.9,358.16,,
,2019,4,11,34.2,19.8,0,4,84,76,8.4,4.1,449.04,,
,2019,4,12,33.2,21.8,0,4,83,70,9,3.5,468.52,,
,2019,4,13,33.8,21.8,0,5,86,74,9.2,3.3,475.01,,
,2019,4,14,35.2,20.5,0,3,88,58,8.1,4.4,439.31,,
,2019,4,15,32.8,22.5,2.8,0,79,74,9.9,2.6,497.73,,
,2019,4,16,33.8,24.5,0,2,80,66,5,7.5,338.69,,
,2019,4,17,33.8,24.3,0,4,87,78,8.5,4,452.29,,
,2019,4,18,35.2,23.8,0,4,87,77,10.4,2.1,513.96,,
,2019,4,19,34.5,21.2,0,5,84,84,9.8,2.7,494.48,,
,2019,4,20,34.7,21.8,0,3,86,68,8.1,4.4,439.31,,
,2019,4,21,35.1,22.2,0,7,87,72,10.8,1.7,526.94,,
,2019,4,22,36.5,23.5,0,4,87,70,8.3,4.2,445.8,,
,2019,4,23,34.5,26.2,0,5,83,63,8.6,3.9,455.53,,
,2019,4,24,34.6,26.1,0,3,87,71,10,2.5,500.98,,
,2019,4,25,37.8,26.5,0,6,80,75,9.3,3.2,478.25,,
,2019,4,26,37.2,25.8,0,3,84,72,9.5,3,484.75,,
,2019,4,27,33.2,23.8,0,0,91,81,5,7.5,338.69,,
,2019,4,28,34.5,27.2,6.8,5,96,71,5.3,7.3,348.42,,
,2019,4,29,34.3,27.6,0,2,92,74,10,2.5,500.98,,
,2019,4,30,33.8,27.1,0,NIL,88,71,10.6,1.9,520.45,,
,2019,5,1,28,25,17.4,NIL,84,58,4.6,8.7,336.47,,
,2019,5,2,33.2,24.2,77.6,NIL,91,60,1.2,12.1,226.29,,
,2019,5,3,26.5,23.2,2.8,NIL,100,95,3,10.3,284.62,,
,2019,5,4,32.2,26.5,0,NIL,76,87,1.6,11.7,239.25,,
,2019,5,5,33.2,25.8,0,3,84,74,9,4.3,479.07,,
,2019,5,6,33.5,26.8,0,6,88,78,8.3,5,456.38,,
,2019,5,7,34.2,24.8,0,7,88,78,8.4,4.9,459.62,,
,2019,5,8,30.6,27.2,0,3,80,74,9,4.3,479.07,,
,2019,5,9,32.2,27.8,0,4,78,78,7.7,5.6,436.94,,
,2019,5,10,30.1,22.3,0,NIL,84,68,7.3,6,423.97,,
,2019,5,11,35,22,12.2,NIL,91,68,7.6,5.7,433.7,,
,2019,5,12,35.2,22.8,7.4,NIL,91,72,9,4.3,479.07,,
,2019,5,13,34.2,23.8,14.4,NIL,83,60,7.8,5.5,440.18,,
,2019,5,14,35.2,24.8,0,3,83,75,8.5,4.8,462.86,,
,2019,5,15,34.8,25.1,0,2,80,69,7.4,5.9,427.21,,
,2019,5,16,34.5,25.3,0,NIL,83,73,8.4,4.9,459.62,,
,2019,5,17,35.2,20.2,2.1,NIL,91,81,2.4,10.9,265.18,,
,2019,5,18,34.5,25.5,52.2,NIL,80,71,0,13.3,187.4,,
,2019,5,19,36.5,23.8,0,NIL,88,69,5,8.3,349.44,,
,2019,5,20,36.5,22.2,20.6,NIL,91,70,8,5.3,446.66,,
