Month,Max Temp. (degree Celcius)0,Max Temp. (degree Celcius)1,Max Temp. (degree Celcius)2,Max Temp. (degree Celcius)3,Max Temp. (degree Celcius)4,Max Temp. (degree Celcius)5,Max Temp. (degree Celcius)6,Min Temp. (degree Celcius)0,Min Temp. (degree Celcius)1,Min Temp. (degree Celcius)2,Min Temp. (degree Celcius)3,Min Temp. (degree Celcius)4,Min Temp. (degree Celcius)5,Min Temp. (degree Celcius)6,Rainfall (mm)0,Rainfall (mm)1,Rainfall (mm)2,Rainfall (mm)3,Rainfall (mm)4,Rainfall (mm)5,Rainfall (mm)6,Actual Evaporation (mm)0,Actual Evaporation (mm)1,Actual Evaporation (mm)2,Actual Evaporation (mm)3,Actual Evaporation (mm)4,Actual Evaporation (mm)5,Actual Evaporation (mm)6,"Relative Humidity (morning, %)0","Relative Humidity (morning, %)1","Relative Humidity (morning, %)2","Relative Humidity (morning, %)3","Relative Humidity (morning, %)4","Relative Humidity (morning, %)5","Relative Humidity (morning, %)6","Relative Humidity (afternoon, %)0","Relative Humidity (afternoon, %)1","Relative Humidity (afternoon, %)2","Relative Humidity (afternoon, %)3","Relative Humidity (afternoon, %)4","Relative Humidity (afternoon, %)5","Relative Humidity (afternoon, %)6",Sunshine (hour/day)0,Sunshine (hour/day)1,Sunshine (hour/day)2,Sunshine (hour/day)3,Sunshine (hour/day)4,Sunshine (hour/day)5,Sunshine (hour/day)6,Cloudy (hour/day)0,Cloudy (hour/day)1,Cloudy (hour/day)2,Cloudy (hour/day)3,Cloudy (hour/day)4,Cloudy (hour/day)5,Cloudy (hour/day)6,Solar Radiation (cal/cm^2/day)0,Solar Radiation (cal/cm^2/day)1,Solar Radiation (cal/cm^2/day)2,Solar Radiation (cal/cm^2/day)3,Solar Radiation (cal/cm^2/day)4,Solar Radiation (cal/cm^2/day)5,Solar Radiation (cal/cm^2/day)6,Station_Barisal,Station_Gazipur,Station_Habiganj,Station_Rangpur,Rainfall
1,27.2,27.6,25.7,26.8,26.4,27.2,27.0,14.2,13.0,12.8,14.0,14.8,14.6,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,89.0,71.0,89.0,84.0,78.0,79.0,79.0,58.0,52.0,58.0,58.0,50.0,49.0,45.0,7.4,6.2,4.8,6.4,5.8,7.8,6.6,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,298.96,269.19,234.46,274.15,259.27,308.88,279.11,0,1,0,0,0
1,27.6,25.7,26.8,26.4,27.2,27.0,25.6,13.0,12.8,14.0,14.8,14.6,14.8,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,71.0,89.0,84.0,78.0,79.0,79.0,79.0,52.0,58.0,58.0,50.0,49.0,45.0,50.0,6.2,4.8,6.4,5.8,7.8,6.6,3.4,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,269.19,234.46,274.15,259.27,308.88,279.11,199.73,0,1,0,0,0
1,25.7,26.8,26.4,27.2,27.0,25.6,26.8,12.8,14.0,14.8,14.6,14.8,13.2,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,89.0,84.0,78.0,79.0,79.0,79.0,100.0,58.0,58.0,50.0,49.0,45.0,50.0,38.0,4.8,6.4,5.8,7.8,6.6,3.4,4.2,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,234.46,274.15,259.27,308.88,279.11,199.73,219.58,0,1,0,0,0
1,26.8,26.4,27.2,27.0,25.6,26.8,23.2,14.0,14.8,14.6,14.8,13.2,13.1,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,84.0,78.0,79.0,79.0,79.0,100.0,100.0,58.0,50.0,49.0,45.0,50.0,38.0,69.0,6.4,5.8,7.8,6.6,3.4,4.2,2.6,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,274.15,259.27,308.88,279.11,199.73,219.58,179.89,0,1,0,0,0
1,26.4,27.2,27.0,25.6,26.8,23.2,24.4,14.8,14.6,14.8,13.2,13.1,15.8,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,78.0,79.0,79.0,79.0,100.0,100.0,100.0,50.0,49.0,45.0,50.0,38.0,69.0,40.0,5.8,7.8,6.6,3.4,4.2,2.6,6.4,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,259.27,308.88,279.11,199.73,219.58,179.89,274.15,0,1,0,0,0
1,27.2,27.0,25.6,26.8,23.2,24.4,24.4,14.6,14.8,13.2,13.1,15.8,14.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,79.0,79.0,79.0,100.0,100.0,100.0,88.0,49.0,45.0,50.0,38.0,69.0,40.0,56.0,7.8,6.6,3.4,4.2,2.6,6.4,4.8,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,308.88,279.11,199.73,219.58,179.89,274.15,234.46,0,1,0,0,0
1,27.0,25.6,26.8,23.2,24.4,24.4,24.6,14.8,13.2,13.1,15.8,14.2,11.8,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,79.0,79.0,100.0,100.0,100.0,88.0,94.0,45.0,50.0,38.0,69.0,40.0,56.0,52.0,6.6,3.4,4.2,2.6,6.4,4.8,4.6,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,279.11,199.73,219.58,179.89,274.15,234.46,217.1,0,1,0,0,0
1,25.6,26.8,23.2,24.4,24.4,24.6,25.4,13.2,13.1,15.8,14.2,11.8,11.2,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,79.0,100.0,100.0,100.0,88.0,94.0,88.0,50.0,38.0,69.0,40.0,56.0,52.0,56.0,3.4,4.2,2.6,6.4,4.8,4.6,6.2,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,199.73,219.58,179.89,274.15,234.46,217.1,269.19,0,1,0,0,0
1,26.8,23.2,24.4,24.4,24.6,25.4,25.9,13.1,15.8,14.2,11.8,11.2,12.6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,100.0,100.0,88.0,94.0,88.0,71.0,38.0,69.0,40.0,56.0,52.0,56.0,50.0,4.2,2.6,6.4,4.8,4.6,6.2,5.1,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,219.58,179.89,274.15,234.46,217.1,269.19,241.9,0,1,0,0,0
1,23.2,24.4,24.4,24.6,25.4,25.9,26.6,15.8,14.2,11.8,11.2,12.6,11.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,100.0,100.0,88.0,94.0,88.0,71.0,89.0,69.0,40.0,56.0,52.0,56.0,50.0,49.0,2.6,6.4,4.8,4.6,6.2,5.1,6.2,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,4.584677419354835,179.89,274.15,234.46,217.1,269.19,241.9,269.19,0,1,0,0,1
