Station,Year,Month,Day,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
Barisal,2017,1,1,25.2,13.8,0,1,94,62,6.3,4.5,277.72,    1.17,     .13,     .65
Barisal,2017,1,2,25.4,13.8,0,1,94,62,5.5,5.3,257.52,    1.10,     .11,     .65
Barisal,2017,1,3,25.6,13.4,0,1,94,61,6.2,4.6,275.2,    1.05,     .08,     .65
Barisal,2017,1,4,25.4,14,0,1,94,64,6.3,4.5,277.72,     .99,     .04,     .60
Barisal,2017,1,5,23,13,0,1,94,68,4,6.8,219.63,     .95,     .02,     .55
Barisal,2017,1,6,24.2,13.2,0,1,94,NIL,4.7,6.1,237.31,     .92,    -.01,     .49
Barisal,2017,1,7,23.8,13.8,0,1,94,68,4.4,6.4,229.73,     .88,    -.03,     .45
Barisal,2017,1,8,25.8,12,0,2,94,58,6.6,4.2,285.3,     .85,    -.04,     .42
Barisal,2017,1,9,26.6,12.6,0,1,94,52,6.6,4.2,285.3,     .93,    -.03,     .40
Barisal,2017,1,10,17.4,13,0,2,94,55,6.3,4.5,277.72,    1.02,    -.02,     .45
Barisal,2017,1,11,24.8,12.8,0,1,94,54,6.4,4.4,280.25,    1.08,    -.01,     .50
Barisal,2017,1,12,24.4,13.8,0,2,94,53,6.2,4.6,275.2,    1.11,     .00,     .54
Barisal,2017,1,13,22.8,10.4,0,1,85,NIL,6.4,4.4,280.25,    1.13,     .01,     .58
Barisal,2017,1,14,22,8,0,2,85,40,6.5,4.3,282.77,    1.15,     .00,     .60
Barisal,2017,1,15,23.8,8.4,0,1,92,52,6.6,4.2,285.3,    1.12,    -.02,     .59
Barisal,2017,1,16,24.4,9,0,1,93,56,6.4,4.4,280.25,    1.10,    -.04,     .55
Barisal,2017,1,17,26,9.4,0,1,93,49,6.7,4.1,287.82,    1.04,    -.06,     .51
Barisal,2017,1,18,26,9.8,0,2,93,50,6.6,4.2,285.3,     .96,    -.08,     .45
Barisal,2017,1,19,26.8,10.8,0,2,93,50,6.7,4.1,287.82,     .85,    -.11,     .39
Barisal,2017,1,20,25.8,10.8,0,2,93,NIL,6.5,4.3,282.77,     .77,    -.12,     .35
Barisal,2017,1,21,25.8,10.2,0,2,93,52,6.6,4.2,285.3,     .73,    -.16,     .32
Barisal,2017,1,22,27.6,11,0,1,94,55,6.4,4.4,280.25,     .75,    -.18,     .29
Barisal,2017,1,23,26.4,12.2,0,1,94,52,6.6,4.2,285.3,     .77,    -.15,     .27
Barisal,2017,1,24,27.2,12.2,0,1,94,52,6.6,4.2,285.3,     .81,    -.12,     .30
Barisal,2017,1,25,28.6,13,0,1,94,48,6.7,4.1,287.82,     .85,    -.10,     .34
Barisal,2017,1,26,31,13.2,0,2,94,53,6.9,3.9,292.88,     .89,    -.08,     .37
Barisal,2017,1,27,29.6,13.6,0,2,94,NIL,5.3,5.5,252.46,     .92,    -.07,     .41
Barisal,2017,1,28,28,14.4,0,2,94,50,6.2,4.6,275.2,     .95,    -.09,     .46
Barisal,2017,1,29,25.8,14,0,1,94,54,7.1,3.7,229.93,    1.00,    -.12,     .47
Barisal,2017,1,30,26,12.6,0,1,94,50,7.2,3.6,300.45,     .98,    -.15,     .48
Barisal,2017,1,31,26.2,13,0,2,94,52,7.2,3.6,300.45,     .95,    -.20,     .49
Barisal,2017,2,1,28.2,13.8,0,2,94,55,6.7,4.5,32.63,     .89,    -.24,     .41
Barisal,2017,2,2,26.6,14.2,0,2,94,52,6.9,4.3,338.38,     .81,    -.28,     .37
Barisal,2017,2,3,24.8,13.6,0,2,94,,6.9,4.3,338.38,     .75,    -.31,     .31
Barisal,2017,2,4,24.8,13.8,0,2,94,49,7.2,4,347,     .70,    -.30,     .26
Barisal,2017,2,5,32.4,14,0,2,94,47,7.6,3.6,358.5,     .64,    -.29,     .22
Barisal,2017,2,6,32.2,14.6,0,1,94,47,7.7,3.5,361.38,     .66,    -.30,     .21
Barisal,2017,2,7,29.6,14.6,0,3,94,49,7.3,3.9,349.88,     .70,    -.32,     .19
Barisal,2017,2,8,28.4,14.6,0,2,94,49,7.5,3.7,355.63,     .77,    -.35,     .17
Barisal,2017,2,9,29,13,0,2,94,43,7.7,3.5,361.38,     .82,    -.38,     .15
Barisal,2017,2,10,30.4,14,0,2,94,NIL,7.2,4,347,     .93,    -.43,     .15
Barisal,2017,2,11,29.8,14.4,0,1,94,54,6.3,4.9,321.13,    1.01,    -.42,     .25
Barisal,2017,2,12,30,17.6,0,2,94,51,7,4.2,341.25,    1.03,    -.40,     .28
Barisal,2017,2,13,29,16,0,3,89,47,6.3,4.9,321.13,    1.07,    -.37,     .32
Barisal,2017,2,14,29.8,16.2,0,2,94,52,6.9,4.3,338.38,    1.01,    -.33,     .43
Barisal,2017,2,15,29.8,17,0,2,94,42,7.3,3.9,349.88,     .95,    -.29,     .38
Barisal,2017,2,16,29.6,15.4,0,2,94,42,7.5,3.7,355.63,     .86,    -.28,     .37
Barisal,2017,2,17,30,15,0,3,88,NIL,8,3.2,370,     .77,    -.30,     .34
Barisal,2017,2,18,30.8,15,0,1,94,52,7,4.2,341.25,     .69,    -.31,     .28
Barisal,2017,2,19,30.4,16,0,2,94,54,5.5,5.7,298.13,     .67,    -.32,     .23
Barisal,2017,2,20,29.6,17.8,0,2,89,56,4.7,6.5,275.13,     .66,    -.32,     .20
Barisal,2017,2,21,31,21.4,0,2,95,52,7.4,3.8,352.75,     .75,    -.33,     .18
Barisal,2017,2,22,31.6,21.8,0,2,90,54,6.6,4.6,329.75,     .79,    -.34,     .26
Barisal,2017,2,23,31.2,22,0,1,90,54,5.2,6,289.5,     .88,    -.35,     .23
Barisal,2017,2,24,29.8,16.6,0,2,95,NIL,8.2,3,375.75,    1.00,    -.32,     .21
Barisal,2017,2,25,29.6,15.4,0,4,89,47,8.5,2.7,384.38,    1.05,    -.29,     .37
Barisal,2017,2,26,31.6,14.6,0,1,94,44,8.6,2.6,387.25,    1.10,    -.25,     .43
Barisal,2017,2,27,31.8,15.4,0,1,94,44,7.8,3.4,364.25,    1.12,    -.24,     .46
Barisal,2017,2,28,32.2,17,0,3,95,42,8.2,3,375.75,    1.11,    -.23,     .48
Barisal,2017,3,1,32,15.8,0,2,94,41,8.3,3.6,428.65,    1.00,    -.22,     .45
Barisal,2017,3,2,34,17,0,3,95,45,7.3,4.36,396.84,     .92,    -.20,     .41
Barisal,2017,3,3,33.6,19,0,3,90,NIL,7.6,4.3,406.38,     .75,    -.18,     .33
Barisal,2017,3,4,31.8,20.8,0,2,95,59,6.9,5,384.11,     .71,    -.15,     .32
Barisal,2017,3,5,31.8,20.4,17,3,95,59,5.9,6,352.3,     .64,    -.13,     .29
Barisal,2017,3,6,28.6,20.8,0,2,95,59,4.8,7.1,317.3,     .63,    -.12,     .28
