Month,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
1,25.2,13.8,0.0,1.0,94,62.0,6.3,4.5,277.72,1.17,0.13,0.65
1,25.4,13.8,0.0,1.0,94,62.0,5.5,5.3,257.52,1.1,0.11,0.65
1,25.6,13.4,0.0,1.0,94,61.0,6.2,4.6,275.2,1.05,0.08,0.65
1,25.4,14.0,0.0,1.0,94,64.0,6.3,4.5,277.72,0.99,0.04,0.6
1,23.0,13.0,0.0,1.0,94,68.0,4.0,6.8,219.63,0.95,0.02,0.55
1,24.2,13.2,0.0,1.0,94,54.51851851851852,4.7,6.1,237.31,0.92,-0.01,0.49
1,23.8,13.8,0.0,1.0,94,68.0,4.4,6.4,229.73,0.88,-0.03,0.45
1,25.8,12.0,0.0,2.0,94,58.0,6.6,4.2,285.3,0.85,-0.04,0.42
1,26.6,12.6,0.0,1.0,94,52.0,6.6,4.2,285.3,0.93,-0.03,0.4
1,17.4,13.0,0.0,2.0,94,55.0,6.3,4.5,277.72,1.02,-0.02,0.45
1,24.8,12.8,0.0,1.0,94,54.0,6.4,4.4,280.25,1.08,-0.01,0.5
1,24.4,13.8,0.0,2.0,94,53.0,6.2,4.6,275.2,1.11,0.0,0.54
1,22.8,10.4,0.0,1.0,85,54.51851851851852,6.4,4.4,280.25,1.13,0.01,0.58
1,22.0,8.0,0.0,2.0,85,40.0,6.5,4.3,282.77,1.15,0.0,0.6
1,23.8,8.4,0.0,1.0,92,52.0,6.6,4.2,285.3,1.12,-0.02,0.59
1,24.4,9.0,0.0,1.0,93,56.0,6.4,4.4,280.25,1.1,-0.04,0.55
1,26.0,9.4,0.0,1.0,93,49.0,6.7,4.1,287.82,1.04,-0.06,0.51
1,26.0,9.8,0.0,2.0,93,50.0,6.6,4.2,285.3,0.96,-0.08,0.45
1,26.8,10.8,0.0,2.0,93,50.0,6.7,4.1,287.82,0.85,-0.11,0.39
1,25.8,10.8,0.0,2.0,93,54.51851851851852,6.5,4.3,282.77,0.77,-0.12,0.35
1,25.8,10.2,0.0,2.0,93,52.0,6.6,4.2,285.3,0.73,-0.16,0.32
1,27.6,11.0,0.0,1.0,94,55.0,6.4,4.4,280.25,0.75,-0.18,0.29
1,26.4,12.2,0.0,1.0,94,52.0,6.6,4.2,285.3,0.77,-0.15,0.27
1,27.2,12.2,0.0,1.0,94,52.0,6.6,4.2,285.3,0.81,-0.12,0.3
1,28.6,13.0,0.0,1.0,94,48.0,6.7,4.1,287.82,0.85,-0.1,0.34
1,31.0,13.2,0.0,2.0,94,53.0,6.9,3.9,292.88,0.89,-0.08,0.37
1,29.6,13.6,0.0,2.0,94,54.51851851851852,5.3,5.5,252.46,0.92,-0.07,0.41
1,28.0,14.4,0.0,2.0,94,50.0,6.2,4.6,275.2,0.95,-0.09,0.46
1,25.8,14.0,0.0,1.0,94,54.0,7.1,3.7,229.93,1.0,-0.12,0.47
1,26.0,12.6,0.0,1.0,94,50.0,7.2,3.6,300.45,0.98,-0.15,0.48
1,26.2,13.0,0.0,2.0,94,52.0,7.2,3.6,300.45,0.95,-0.2,0.49
2,28.2,13.8,0.0,2.0,94,55.0,6.7,4.5,32.63,0.89,-0.24,0.41
2,26.6,14.2,0.0,2.0,94,52.0,6.9,4.3,338.38,0.81,-0.28,0.37
2,24.8,13.6,0.0,2.0,94,49.083333333333336,6.9,4.3,338.38,0.75,-0.31,0.31
2,24.8,13.8,0.0,2.0,94,49.0,7.2,4.0,347.0,0.7,-0.3,0.26
2,32.4,14.0,0.0,2.0,94,47.0,7.6,3.6,358.5,0.64,-0.29,0.22
2,32.2,14.6,0.0,1.0,94,47.0,7.7,3.5,361.38,0.66,-0.3,0.21
2,29.6,14.6,0.0,3.0,94,49.0,7.3,3.9,349.88,0.7,-0.32,0.19
2,28.4,14.6,0.0,2.0,94,49.0,7.5,3.7,355.63,0.77,-0.35,0.17
2,29.0,13.0,0.0,2.0,94,43.0,7.7,3.5,361.38,0.82,-0.38,0.15
2,30.4,14.0,0.0,2.0,94,49.083333333333336,7.2,4.0,347.0,0.93,-0.43,0.15
2,29.8,14.4,0.0,1.0,94,54.0,6.3,4.9,321.13,1.01,-0.42,0.25
2,30.0,17.6,0.0,2.0,94,51.0,7.0,4.2,341.25,1.03,-0.4,0.28
2,29.0,16.0,0.0,3.0,89,47.0,6.3,4.9,321.13,1.07,-0.37,0.32
2,29.8,16.2,0.0,2.0,94,52.0,6.9,4.3,338.38,1.01,-0.33,0.43
2,29.8,17.0,0.0,2.0,94,42.0,7.3,3.9,349.88,0.95,-0.29,0.38
2,29.6,15.4,0.0,2.0,94,42.0,7.5,3.7,355.63,0.86,-0.28,0.37
2,30.0,15.0,0.0,3.0,88,49.083333333333336,8.0,3.2,370.0,0.77,-0.3,0.34
2,30.8,15.0,0.0,1.0,94,52.0,7.0,4.2,341.25,0.69,-0.31,0.28
2,30.4,16.0,0.0,2.0,94,54.0,5.5,5.7,298.13,0.67,-0.32,0.23
2,29.6,17.8,0.0,2.0,89,56.0,4.7,6.5,275.13,0.66,-0.32,0.2
2,31.0,21.4,0.0,2.0,95,52.0,7.4,3.8,352.75,0.75,-0.33,0.18
2,31.6,21.8,0.0,2.0,90,54.0,6.6,4.6,329.75,0.79,-0.34,0.26
2,31.2,22.0,0.0,1.0,90,54.0,5.2,6.0,289.5,0.88,-0.35,0.23
2,29.8,16.6,0.0,2.0,95,49.083333333333336,8.2,3.0,375.75,1.0,-0.32,0.21
2,29.6,15.4,0.0,4.0,89,47.0,8.5,2.7,384.38,1.05,-0.29,0.37
2,31.6,14.6,0.0,1.0,94,44.0,8.6,2.6,387.25,1.1,-0.25,0.43
2,31.8,15.4,0.0,1.0,94,44.0,7.8,3.4,364.25,1.12,-0.24,0.46
2,32.2,17.0,0.0,3.0,95,42.0,8.2,3.0,375.75,1.11,-0.23,0.48
3,32.0,15.8,0.0,2.0,94,41.0,8.3,3.6,428.65,1.0,-0.22,0.45
3,34.0,17.0,0.0,3.0,95,45.0,7.3,4.36,396.84,0.92,-0.2,0.41
3,33.6,19.0,0.0,3.0,90,52.96153846153846,7.6,4.3,406.38,0.75,-0.18,0.33
3,31.8,20.8,0.0,2.0,95,59.0,6.9,5.0,384.11,0.71,-0.15,0.32
3,31.8,20.4,17.0,3.0,95,59.0,5.9,6.0,352.3,0.64,-0.13,0.29
3,28.6,20.8,0.0,2.0,95,59.0,4.8,7.1,317.3,0.63,-0.12,0.28
3,31.0,21.0,0.0,2.0,95,59.0,5.3,6.6,333.21,0.65,-0.1,0.26
3,29.0,22.0,8.6,3.6,95,16.0,0.9,11.0,193.23,0.68,-0.09,0.32
3,29.4,17.8,1.0,3.0,95,66.0,6.7,5.2,377.75,0.75,-0.16,0.34
3,31.8,19.0,22.0,2.0,95,52.96153846153846,6.4,5.5,368.21,0.84,-0.29,0.35
3,28.8,20.8,0.0,2.4,95,78.0,3.4,8.5,272.77,1.0,-0.25,0.46
3,29.0,20.0,0.0,2.0,95,79.0,4.8,7.1,317.3,1.08,-0.31,0.51
3,29.0,17.6,0.0,3.0,83,43.0,8.4,3.5,431.83,1.2,-0.3,0.57
3,29.8,16.2,0.0,2.0,94,44.0,8.7,3.2,441.38,1.14,-0.31,0.58
3,30.6,16.0,0.0,4.0,94,42.0,8.8,3.1,444.56,1.05,-0.34,0.52
3,31.0,16.0,0.0,2.0,89,42.0,8.3,3.6,428.65,0.92,-0.33,0.46
3,32.4,16.8,0.0,3.0,95,52.96153846153846,7.0,4.9,387.29,0.81,-0.31,0.38
3,30.4,19.4,14.0,4.0,95,47.0,3.5,8.4,275.95,0.7,-0.27,0.32
3,32.4,19.0,4.4,3.4,95,47.0,8.0,3.9,419.11,0.55,-0.25,0.24
3,22.6,20.0,1.2,2.2,95,80.0,0.5,11.4,180.51,0.44,-0.21,0.22
3,29.8,16.2,0.0,3.0,94,47.0,8.5,3.4,435.01,0.43,-0.28,0.18
